word,type
ABNORMAL,Medical Process Terms
ACCESS,Medical Process Terms
ACHE,Medical Process Terms
ACHES,Medical Process Terms
ACTIVE,Medical Process Terms
ACUTE,Medical Process Terms
ADMINISTERED,Medical Process Terms
ADVICE,Medical Process Terms
AFFECTED,Medical Process Terms
AFFORD,Medical Process Terms
AFTERWARDS,Medical Process Terms
AGO,Medical Process Terms
ALMOST,Medical Process Terms
ALONE,Medical Process Terms
ALREADY,Medical Process Terms
AMOUNT,Medical Process Terms
ANSWER,Medical Process Terms
ANSWERING,Medical Process Terms
APPEAR,Medical Process Terms
APPEARED,Medical Process Terms
APPEARS,Medical Process Terms
APPLIED,Medical Process Terms
APPOINTMENT,Medical Process Terms
APPROPRIATELY,Medical Process Terms
APPROXIMATELY,Medical Process Terms
ARRIVED,Medical Process Terms
ASKED,Medical Process Terms
ASSESSMENT,Medical Process Terms
BECAME,Medical Process Terms
BECOME,Medical Process Terms
BECOMES,Medical Process Terms
BEGINNING,Medical Process Terms
BROUGHT,Medical Process Terms
CALL,Medical Process Terms
CARE,Medical Process Terms
CAUSE,Medical Process Terms
CAUSING,Medical Process Terms
CHANGE,Medical Process Terms
CHECK,Medical Process Terms
CHECKED,Medical Process Terms
CLINIC,Medical Process Terms
COMES,Medical Process Terms
COMMANDS,Medical Process Terms
COMPLAINED,Medical Process Terms
COMPLAINING,Medical Process Terms
COMPLAINS,Medical Process Terms
COMPLAINT,Medical Process Terms
COMPLAINTS,Medical Process Terms
COMPLETE,Medical Process Terms
COMPLETED,Medical Process Terms
CONCERNED,Medical Process Terms
CONCERNS,Medical Process Terms
CONDITION,Medical Process Terms
CONFIRMED,Medical Process Terms
CONSTANTLY,Medical Process Terms
CONSULT,Medical Process Terms
CONTACTED,Medical Process Terms
CONTINUE,Medical Process Terms
CONTINUED,Medical Process Terms
CONTINUES,Medical Process Terms
CONTROLLED,Medical Process Terms
COULD,Medical Process Terms
COUNT,Medical Process Terms
CURRENT,Medical Process Terms
CURRENTLY,Medical Process Terms
DECIDED,Medical Process Terms
DECREASED,Medical Process Terms
DENIED,Medical Process Terms
DENIES,Medical Process Terms
DESCRIBES,Medical Process Terms
DIAGNOSED,Medical Process Terms
DIAGNOSIS,Medical Process Terms
DIFFCULTY,Medical Process Terms
DIFFERENT,Medical Process Terms
DIFFICULT,Medical Process Terms
DIFFICULTY,Medical Process Terms
DISCOMFORT,Medical Process Terms
DISEASE,Medical Process Terms
DISTRESS,Medical Process Terms
DOCTOR,Medical Process Terms
DONT,Medical Process Terms
DUPLICATION,Medical Process Terms
EITHER,Medical Process Terms
ELSE,Medical Process Terms
ENOUGH,Medical Process Terms
ENTIRE,Medical Process Terms
ERROR,Medical Process Terms
ESPECIALLY,Medical Process Terms
EVALUATED,Medical Process Terms
EVALUATION,Medical Process Terms
EXPERIENCING,Medical Process Terms
EXTRA,Medical Process Terms
FEEL,Medical Process Terms
FINISHED,Medical Process Terms
FOLLOW,Medical Process Terms
FOLLOWED,Medical Process Terms
FOLLOWING,Medical Process Terms
FULL,Medical Process Terms
FUNCTION,Medical Process Terms
GENERAL,Medical Process Terms
GENERALIZED,Medical Process Terms
GOING,Medical Process Terms
GOOD,Medical Process Terms
GOT,Medical Process Terms
GREATER,Medical Process Terms
HAPPENS,Medical Process Terms
HEALING,Medical Process Terms
HELPING,Medical Process Terms
HISTORY,Medical Process Terms
HRS,Medical Process Terms
HUMAN,Medical Process Terms
HURT,Medical Process Terms
HURTING,Medical Process Terms
HURTS,Medical Process Terms
ILL,Medical Process Terms
IMPROVED,Medical Process Terms
IMPROVEMENT,Medical Process Terms
IMPROVING,Medical Process Terms
INCLUDING,Medical Process Terms
INITIALLY,Medical Process Terms
INSTEAD,Medical Process Terms
INTAKE,Medical Process Terms
INVOLVED,Medical Process Terms
ISSUES,Medical Process Terms
JUST,Medical Process Terms
